num_inputs,num_outputs,num_registers,num_wires,num_always_sequential,num_always_combinational,num_assigns,num_case_statements,num_arithmetic_ops,num_multipliers,num_logical_ops,bitwidth_max,max_if_depth,sequential_ratio,cyclomatic_complexity,fanout_estimate,ast_depth,num_parameters,num_generate_blocks,num_memory_blocks,num_signed_ops,fsm_state_count,combinational_path_len,pipeline_depth,routing_congestion_factor,area,power,delay
20,11,81,33,8,7,5,3,12,4,34,8,3,0.5333333333333333,13,5.78,9,3,0,4,4,0,9,5,23.84,42196.83945331656,14.445552523380796,3.719787300907917
7,6,29,5,2,1,5,2,0,0,30,8,7,0.6666666666666666,14,8.2,8,6,1,0,0,5,8,2,5.12,6233.322425822232,3.2747527763611783,3.8659601195144675
9,14,54,23,15,8,6,3,11,0,20,64,2,0.6521739130434783,14,4.48,6,5,3,4,3,5,3,3,1.61,181313.8977700232,76.7817387092248,2.9018659561490727
3,3,50,17,8,3,16,2,20,3,8,32,2,0.7272727272727273,8,9.66,6,3,2,2,2,0,16,2,5.13,174579.33485751698,57.128454342110885,26.904252475861522
6,8,174,38,12,5,15,1,7,2,26,64,4,0.7058823529411765,11,10.17,10,6,3,1,3,5,10,2,6.04,476619.10077399376,158.75061005661482,24.987504688713646
17,6,34,24,14,7,16,2,5,1,36,32,2,0.6666666666666666,10,5.36,4,2,2,2,3,0,12,3,4.02,89183.05522369767,29.262974036156916,4.068827387934335
15,7,133,24,13,3,21,3,17,2,25,64,3,0.8125,13,13.08,5,6,1,3,4,8,11,2,4.91,472434.8554094755,171.78044921901713,25.912391171346577
10,2,94,28,10,1,7,0,33,0,10,32,2,0.9090909090909091,4,10.36,4,2,2,2,0,0,12,6,9.06,93282.2738015895,40.53554617615201,2.929235947581735
5,2,117,33,11,1,7,0,31,1,6,32,4,0.9166666666666666,5,10.32,7,4,2,1,6,0,12,3,10.64,121374.9037173022,52.40572080234273,4.491305215831822
6,6,121,76,12,7,29,4,23,0,16,8,4,0.631578947368421,17,4.57,9,4,4,2,1,3,5,5,43.42,32623.307459322114,13.911385962006346,4.062211664393088
7,10,59,53,6,3,15,2,16,4,26,8,8,0.6666666666666666,15,3.09,12,2,4,2,1,5,12,6,20.47,31367.162576444014,11.536507182869173,3.959728288548913
12,4,24,23,1,2,5,5,0,0,6,16,3,0.3333333333333333,19,3.34,6,5,0,0,0,12,5,1,4.8,11572.786776000807,4.804527915574801,4.930534299744714
7,4,47,53,9,2,18,0,28,0,5,32,4,0.8181818181818182,6,3.54,7,3,1,1,4,0,6,4,5.86,43956.240615560266,21.933193773545646,2.701452405690019
15,8,53,62,12,2,15,2,19,0,25,32,5,0.8571428571428571,13,2.85,8,1,0,2,3,8,6,3,5.52,68449.60009346972,28.697906042169496,3.286643642412451
6,2,79,42,10,3,13,1,6,0,9,32,4,0.7692307692307693,7,6.24,6,4,2,0,0,0,8,5,8.19,45598.70274093638,27.149817101564498,2.838259206608538
13,10,22,28,10,3,33,3,16,3,31,64,2,0.7692307692307693,15,4.29,4,5,4,1,2,5,4,5,1.88,475030.79122744105,120.95938218634284,2.727038707217365
12,15,179,30,6,2,17,3,15,4,31,64,8,0.75,19,11.09,11,5,4,3,4,0,3,2,5.2,814897.1625966491,284.9969755722366,46.13022915781653
9,10,20,9,3,5,2,3,4,0,16,4,4,0.375,15,3.59,7,5,1,0,0,11,8,2,8.08,2929.9125407560696,1.1727889761181014,3.926825584283673
19,15,24,62,9,2,18,3,25,0,38,32,4,0.8181818181818182,15,1.9,6,5,3,1,4,8,5,3,3.68,43555.659151903754,17.354662667273697,2.9708413946251984
3,5,6,19,2,4,2,4,1,0,19,16,10,0.3333333333333333,25,1.01,12,1,0,0,0,11,3,2,1.2,5443.050395854031,1.9569024345168675,3.695619516792947
20,8,100,37,11,6,22,3,25,2,38,64,3,0.6470588235294118,14,7.57,7,5,2,1,2,5,14,3,4.38,412549.6604384963,142.959790760665,5.38389491608442
14,9,109,86,15,5,14,1,23,4,32,64,5,0.75,11,3.46,8,3,0,2,0,5,10,4,4.65,735911.6558810154,232.60596764981514,4.406056904270031
10,5,157,49,12,5,9,1,24,4,23,64,3,0.7058823529411765,7,7.82,9,2,1,0,0,8,8,5,5.99,703599.1274673942,242.2160264373679,3.349819472652034
2,10,11,18,3,4,7,2,2,0,16,2,6,0.42857142857142855,15,1.57,7,2,0,0,0,11,7,1,14.13,1514.4864445442188,0.4794671589218757,6.179529510136973
4,2,32,17,2,2,4,1,0,0,15,8,3,0.5,8,4.63,5,8,1,0,0,5,8,2,9.84,6839.025957196744,3.1533163648095424,4.009064953129081
4,3,36,56,10,2,9,0,29,2,15,16,3,0.8333333333333334,4,2.33,5,4,3,1,4,0,9,2,8.16,41470.47158947378,14.05063052382117,15.276541373878453
5,2,77,30,6,0,12,1,13,3,15,8,3,1.0,7,8.22,6,4,0,1,5,0,9,7,30.83,29043.407032682288,11.716556394223645,3.290048442718508
12,3,20,14,1,4,8,3,0,0,26,1,6,0.2,17,5.18,9,4,0,0,0,5,5,1,72.52,2310.467614395483,0.5697242691119349,12.679168739489219
9,5,76,58,11,1,11,2,30,4,15,32,1,0.9166666666666666,7,4.27,5,2,0,2,0,0,4,8,7.74,217989.61489403155,75.37758183367094,1.786297179731639
8,4,103,81,11,2,26,2,23,3,13,16,6,0.8461538461538461,16,3.87,8,4,1,4,3,8,12,2,19.59,92638.1087222984,34.77603271087457,22.74403048604692
13,13,25,65,8,1,28,2,23,0,10,64,5,0.8888888888888888,14,2.03,7,5,0,0,3,0,7,5,2.06,39419.426610195165,21.67961376453823,3.0854481808655847
12,13,26,18,2,4,7,4,3,0,8,2,10,0.3333333333333333,23,3.19,13,6,0,0,0,5,6,2,28.71,2597.101180969381,0.8673223282356838,6.044819684082748
11,15,20,17,8,8,26,4,22,3,22,16,3,0.5,19,4.27,7,2,2,1,0,0,13,5,4.54,48845.07253647862,14.337327658072544,3.1237285788586706
11,5,37,27,13,1,19,1,12,0,33,8,5,0.9285714285714286,10,5.02,11,2,0,1,4,5,6,6,16.94,12760.05468795496,5.280644962926141,2.499862038046968
6,3,34,52,11,1,17,1,14,0,11,32,2,0.9166666666666666,6,2.9,6,3,0,1,5,0,14,5,4.71,40195.94482282149,18.818687891275015,3.1382620357418523
17,8,58,53,10,3,29,4,12,1,27,32,8,0.7692307692307693,22,4.09,13,1,4,3,3,3,9,3,6.77,121042.70155885858,42.232978070016216,4.482596839944001
8,1,73,33,4,1,5,1,18,5,12,16,1,0.8,4,7.08,3,4,1,1,1,0,17,4,14.6,82357.46799148667,29.504069797114465,4.3688201611865685
6,2,110,17,10,1,23,2,12,3,6,8,3,0.9090909090909091,9,20.48,6,3,2,1,2,0,9,6,43.52,35356.68059276506,15.59571421473953,4.1287351011316815
4,4,113,30,6,2,14,1,7,4,6,64,2,0.75,5,10.79,5,4,3,1,1,0,7,4,5.06,686983.0876887114,218.6204088623245,3.4130183127346956
11,15,13,20,3,3,4,4,3,0,20,8,4,0.5,19,1.76,6,3,0,0,0,11,5,1,4.4,4534.686450009949,1.7917709860706648,4.475074922551746
20,2,39,21,4,7,9,2,7,1,8,8,3,0.36363636363636365,13,7.1,7,1,4,4,3,8,3,2,18.64,26797.61394517672,9.076206814076501,7.750032645445903
4,2,155,50,12,5,5,4,10,0,14,64,6,0.7058823529411765,20,7.57,9,2,4,4,2,5,7,5,5.91,299732.5092511971,148.33111929925803,3.6808364545644383
8,9,24,12,3,2,4,1,0,0,8,4,8,0.6,13,3.77,10,8,0,0,0,3,7,1,11.31,2855.7696244087692,1.332946608884666,6.213187207655753
8,12,31,15,3,1,8,1,1,0,12,8,9,0.75,14,3.83,10,2,1,0,0,11,6,1,7.18,7460.881924874929,3.2186007082981503,5.6301030758490205
2,5,24,9,3,4,1,3,1,0,24,4,5,0.42857142857142855,17,4.24,7,6,1,0,0,5,8,1,9.54,2927.6824728290444,1.1982199364686996,5.7742650131641
5,3,131,44,5,6,24,4,15,0,25,32,8,0.45454545454545453,24,8.17,13,2,2,4,3,8,5,6,11.23,132504.0715568442,63.36687571584388,2.933889999111862
6,14,178,52,7,2,7,3,9,3,17,64,7,0.7777777777777778,20,6.95,11,3,0,0,0,5,10,4,5.65,625632.7171181777,232.23714941923797,4.505646902163636
5,1,39,37,10,3,7,0,8,2,11,8,1,0.7692307692307693,3,3.76,4,0,2,1,3,0,16,2,17.39,17498.222445438398,6.777019819729825,12.995899315336272
20,4,117,36,6,5,14,3,20,1,12,16,3,0.5454545454545454,16,9.06,7,4,2,3,0,5,7,3,20.39,76999.22542808135,33.4293133126189,4.038529786156556
10,9,47,32,8,1,35,4,15,4,32,64,8,0.8888888888888888,23,5.39,13,3,3,4,1,5,8,6,2.69,660784.0820947407,199.38137114576304,3.5415084436298567
19,7,65,65,9,5,28,4,23,1,28,16,5,0.6428571428571429,20,3.73,10,3,0,4,1,3,13,6,15.15,67970.86911003431,22.91291150616307,3.4742641836348263
5,9,31,14,3,1,6,4,1,0,26,8,6,0.75,19,4.02,8,3,1,0,0,9,2,2,7.03,6815.429222795189,3.332186320982017,2.997831495675226
16,10,149,68,12,1,30,3,22,4,13,64,2,0.9230769230769231,13,6.0,6,2,4,0,4,8,8,5,6.38,716715.4834979891,220.8165787564702,3.414408152455302
3,6,13,21,3,5,8,5,4,0,13,1,9,0.375,26,1.96,11,8,0,0,0,8,2,2,41.16,1464.6137165113303,0.3934981895304089,6.461689423896418
8,3,9,9,2,3,5,4,1,0,22,4,9,0.4,23,4.03,11,2,1,0,0,10,4,1,9.07,2253.2607779407094,0.7168336296956748,5.86698155343366
4,1,59,51,4,1,11,2,11,4,5,8,3,0.8,9,3.98,6,1,3,2,1,0,6,7,25.37,31928.218459514454,10.931381971848392,2.878992104928541
16,2,177,40,11,7,17,1,11,1,25,64,8,0.6111111111111112,12,12.0,14,1,4,1,2,5,6,5,7.5,355714.62904380495,171.73276701666558,3.509671540114374
12,15,21,21,3,3,6,5,3,0,24,4,3,0.5,20,2.38,5,8,0,0,0,7,6,1,12.49,3690.436559003706,1.5371003079279235,5.38031245431774
14,3,81,54,5,3,16,2,21,3,34,16,6,0.625,14,4.67,12,4,3,1,3,3,11,3,15.76,70276.01908873966,27.508321530002366,5.060407839062045
5,2,56,38,12,0,15,0,21,1,6,32,4,1.0,6,5.32,7,3,3,2,6,0,11,5,6.32,98629.61189441486,39.053743891325574,3.190399925199436
11,2,31,12,2,1,4,2,4,0,15,1,4,0.6666666666666666,12,7.23,7,8,0,0,0,12,2,2,86.76,2702.8656326869377,0.6959520621970829,8.602940740041795
5,14,132,84,7,7,8,2,14,0,36,32,4,0.5,13,3.55,6,4,0,1,1,5,14,6,9.32,90238.57110044129,52.864271793686555,3.5174595034716494
9,11,55,41,7,1,23,3,22,2,18,64,4,0.875,16,4.02,8,5,2,4,0,3,9,2,2.58,453060.2542074637,148.80228208145903,24.376736579889464
5,2,34,55,8,1,25,1,21,1,12,16,3,0.8888888888888888,7,3.14,6,3,0,2,6,0,18,8,10.79,36697.03769507397,13.76776389573444,3.0980513475023543
10,13,14,16,2,4,5,5,0,0,30,8,3,0.3333333333333333,21,2.2,5,6,0,0,0,11,5,1,4.4,4578.804044757529,1.718104679144497,4.350337751629357
10,3,57,28,8,1,22,1,31,2,13,16,1,0.8888888888888888,4,8.04,3,3,0,0,6,0,6,5,14.07,40688.48780333917,17.367911233579445,2.4263213101875087
9,2,104,18,7,1,12,0,26,2,7,8,1,0.875,3,17.5,5,1,0,1,5,0,8,7,39.38,29562.466708833115,12.493239891457758,3.1543781378468485
17,12,43,27,4,4,20,1,9,4,22,16,6,0.5,13,4.92,8,1,2,0,3,3,10,2,8.3,57318.41515643523,20.529210911205073,25.661946436356995
3,13,31,8,1,3,5,3,1,0,18,8,4,0.25,16,4.09,7,3,0,0,0,11,6,1,4.09,6318.882564684701,3.0861477567361475,4.475745099159308
18,7,74,34,10,8,32,2,7,0,16,16,8,0.5555555555555556,15,7.26,14,6,3,2,3,5,5,3,15.43,41388.44532983939,17.601115892653578,3.775382095490212
6,5,92,48,12,2,4,2,34,2,6,8,2,0.8571428571428571,8,5.39,5,0,1,1,3,0,5,3,32.34,27092.231438101306,12.795391991345776,4.2276695018992365
3,3,56,18,9,3,15,2,27,1,15,8,4,0.75,9,9.87,6,4,0,0,2,0,7,2,22.21,15000.31113031283,6.831499419712037,8.715509000540639
10,6,26,21,2,4,6,1,4,0,23,8,4,0.3333333333333333,9,3.42,5,5,0,0,0,11,3,1,8.98,6678.840738020213,3.0919099300292108,4.143673547140831
16,11,36,54,15,7,28,2,6,1,13,32,5,0.6818181818181818,12,2.95,10,5,4,0,2,3,4,2,4.98,62952.42773304123,23.115394019959997,10.889789068396079
4,4,147,59,12,5,10,3,9,2,15,16,8,0.7058823529411765,18,6.13,12,4,2,4,0,5,14,6,22.6,86632.97547806353,35.39325145178837,4.441135185356355
19,9,150,61,4,8,32,2,16,1,24,8,8,0.3333333333333333,15,6.89,14,6,0,1,4,0,3,2,52.54,38370.29309227488,16.861180380740457,11.399243954604461
9,7,18,9,1,1,8,4,1,0,16,1,5,0.5,19,4.81,8,6,1,0,0,4,6,2,43.29,1568.9431520795356,0.5076312543853561,6.8136294587362585
12,2,11,12,3,1,6,1,3,0,15,16,6,0.75,11,4.56,7,8,0,0,0,8,3,2,3.42,6721.431550078238,2.7380768741374335,2.7785325462087473
11,9,114,90,11,4,28,2,9,0,34,32,2,0.7333333333333333,10,3.71,8,3,0,2,0,8,14,4,10.43,99143.5706013927,48.23482525955236,3.7803141365462216
